0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12
FECHA y HORA;PMS5003: PM 1.0;PMS5003: PM 2.5;PMS5003: PM 10;DHT22: Temp.;DHT22: Humedad r.;MQ-7: CO;SHT85: Temp.;SHT85: Humedad r.;GDK101: Radi 10.2;SCD30: Temp.;SCD30: Humedad r.;SCD30: CO2
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
0;1;2;3;4;5;6;7;8;9;10;11;12
FECHA y HORA;PMS5003: PM 1.0;PMS5003: PM 2.5;PMS5003: PM 10;DHT22: Temp.;DHT22: Humedad r.;MQ-7: CO;SHT85: Temp.;SHT85: Humedad r.;GDK101: Radi 10.2;SCD30: Temp.;SCD30: Humedad r.;SCD30: CO2
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
0;1;2;3;4;5;6;7;8;9;10;11;12
FECHA y HORA;PMS5003: PM 1.0;PMS5003: PM 2.5;PMS5003: PM 10;DHT22: Temp.;DHT22: Humedad r.;MQ-7: CO;SHT85: Temp.;SHT85: Humedad r.;GDK101: Radi 10.2;SCD30: Temp.;SCD30: Humedad r.;SCD30: CO2
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
8/08/2025 9:33:59;9,80;23,10;26,70;28,93;57,82;5,10;29,11;43,89;6,67;29,26;40,97;446,79
